epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.033,0.54394,0.42803,1.01431,0.84954,0.73083,0.81019,0.53456,1.31109,0.9684,1.73349,0.00053344,0.00053344,0.00053344
2,127.98,0.58259,0.45567,1.04915,0.80309,0.71853,0.77986,0.50086,1.28631,1.05042,1.73701,0.00107867,0.00107867,0.00107867
3,131.863,0.63666,0.5141,1.07089,0.69232,0.72789,0.73412,0.4596,1.35743,1.12036,1.77107,0.00161896,0.00161896,0.00161896
4,135.795,0.67147,0.55939,1.0863,0.7422,0.64916,0.71422,0.41735,1.52014,1.47807,1.9656,0.0016445,0.0016445,0.0016445
5,139.623,0.67555,0.57224,1.07743,0.78322,0.71487,0.76712,0.484,1.30981,1.01375,1.75677,0.00163699,0.00163699,0.00163699
6,143.486,0.70627,0.59128,1.10766,0.76857,0.71407,0.77614,0.48936,1.31326,1.10571,1.76005,0.00162949,0.00162949,0.00162949
7,147.34,0.70999,0.58459,1.10678,0.73386,0.75225,0.74656,0.49121,1.28719,1.07124,1.64552,0.00162199,0.00162199,0.00162199
8,151.211,0.71658,0.5732,1.102,0.7619,0.72544,0.76989,0.46275,1.413,1.02362,1.80437,0.00161449,0.00161449,0.00161449
9,155.086,0.70434,0.56993,1.11506,0.81905,0.744,0.79822,0.51336,1.32421,0.96292,1.67967,0.00160699,0.00160699,0.00160699
10,158.939,0.7062,0.56887,1.10381,0.83377,0.73891,0.79885,0.51677,1.30537,0.92729,1.73973,0.00159949,0.00159949,0.00159949
11,162.787,0.73371,0.60421,1.13573,0.79512,0.71837,0.81456,0.52895,1.31095,0.9153,1.70522,0.00159199,0.00159199,0.00159199
12,166.663,0.72553,0.56893,1.10717,0.80919,0.75169,0.79992,0.5202,1.32252,0.92364,1.70567,0.00158448,0.00158448,0.00158448
13,170.531,0.71763,0.58008,1.11913,0.75382,0.71828,0.76491,0.48945,1.31813,1.06485,1.7233,0.00157698,0.00157698,0.00157698
14,174.381,0.70562,0.57644,1.10792,0.80735,0.70819,0.78712,0.49997,1.35884,0.98951,1.74912,0.00156948,0.00156948,0.00156948
15,178.255,0.70921,0.5935,1.10785,0.78371,0.75126,0.81096,0.53658,1.27605,1.00885,1.61183,0.00156198,0.00156198,0.00156198
16,182.324,0.72203,0.5833,1.1068,0.76383,0.76893,0.80491,0.50574,1.29439,0.97916,1.62286,0.00155448,0.00155448,0.00155448
17,186.262,0.72005,0.58405,1.11109,0.86521,0.69601,0.81531,0.51112,1.35204,0.96011,1.70966,0.00154698,0.00154698,0.00154698
18,190.223,0.70281,0.56048,1.11013,0.79933,0.68342,0.76965,0.48015,1.31049,1.00213,1.67509,0.00153947,0.00153947,0.00153947
19,194.079,0.72,0.58737,1.11206,0.78507,0.69036,0.76083,0.48185,1.28716,1.02747,1.66074,0.00153197,0.00153197,0.00153197
