epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.69398,1.29678,3.76169,0.01958,0.44271,0.70743,0.49399,0.24676,1.63623,2.38343,0.03803,0.00053344,0.00053344,0.00053344
2,12.0085,1.52815,2.29667,0.02727,0.27397,0.33854,0.20852,0.07822,2.28768,2.91884,0.05988,0.00107819,0.00107819,0.00107819
3,16.387,1.72537,2.18853,0.03077,0.21614,0.3489,0.17948,0.06352,2.56886,2.91258,0.06256,0.00161749,0.00161749,0.00161749
4,20.6964,1.71318,2.11862,0.02982,0.13445,0.12074,0.04465,0.0156,3.15071,4.55769,0.08008,0.00164225,0.00164225,0.00164225
5,25.0081,1.70909,2.00136,0.0288,0.20342,0.18257,0.12404,0.02871,3.36997,2.98286,0.09582,0.00163399,0.00163399,0.00163399
6,29.297,1.70704,2.024,0.02952,0.19806,0.27522,0.158,0.06248,2.58192,3.09484,0.06136,0.00162574,0.00162574,0.00162574
7,33.6759,1.75157,1.91595,0.03107,0.44765,0.35611,0.34639,0.15035,1.96169,2.49681,0.04844,0.00161749,0.00161749,0.00161749
8,37.9813,1.72998,1.91847,0.03004,0.47356,0.45456,0.37551,0.15326,2.26828,2.3751,0.05783,0.00160924,0.00160924,0.00160924
9,42.2935,1.72465,1.83226,0.02924,0.56087,0.44876,0.44976,0.17193,2.10309,2.01817,0.05426,0.00160099,0.00160099,0.00160099
10,46.6784,1.67034,1.80822,0.02823,0.54256,0.46278,0.49917,0.21233,1.91946,1.84574,0.0458,0.00159274,0.00159274,0.00159274
11,50.989,1.63445,1.74109,0.02766,0.54725,0.54002,0.51485,0.24007,1.88713,1.71554,0.04561,0.00158448,0.00158448,0.00158448
12,55.3319,1.57068,1.64313,0.02747,0.62352,0.4703,0.55457,0.23537,2.06886,1.78639,0.04631,0.00157623,0.00157623,0.00157623
13,59.6778,1.59718,1.66287,0.02736,0.6265,0.60865,0.61487,0.31169,1.63471,1.81059,0.03803,0.00156798,0.00156798,0.00156798
14,64.2024,1.53978,1.61287,0.02585,0.59191,0.50723,0.5287,0.24165,1.86281,1.73119,0.0463,0.00155973,0.00155973,0.00155973
