epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.83227,1.22991,4.01853,0.01859,0.32826,0.31475,0.27796,0.14708,1.53289,2.89833,0.03658,0.00053344,0.00053344,0.00053344
2,10.2736,1.51094,2.36009,0.02712,0.28209,0.27414,0.20521,0.08921,2.18059,2.65319,0.05711,0.00107724,0.00107724,0.00107724
3,13.7131,1.71082,2.17703,0.03068,0.18953,0.38012,0.14479,0.04231,2.69656,3.45769,0.07181,0.00161463,0.00161463,0.00161463
4,17.1611,1.80961,2.03362,0.03195,0.20105,0.22561,0.14379,0.05666,2.80944,4.30553,0.07532,0.00163788,0.00163788,0.00163788
5,20.6095,1.78073,2.06578,0.03028,0.16553,0.24218,0.10224,0.02823,2.77635,3.03773,0.07605,0.00162817,0.00162817,0.00162817
6,24.1219,1.74391,1.98621,0.03024,0.3698,0.48314,0.38188,0.14583,2.09406,2.2142,0.05091,0.00161846,0.00161846,0.00161846
7,27.5777,1.7785,1.84764,0.03181,0.5367,0.38914,0.37312,0.15387,2.36614,2.07077,0.06129,0.00160875,0.00160875,0.00160875
8,31.1506,1.7904,1.92191,0.03172,0.47028,0.48035,0.4334,0.16738,2.12311,2.17566,0.0512,0.00159905,0.00159905,0.00159905
9,34.6859,1.71456,1.81453,0.02964,0.4731,0.59673,0.5339,0.23731,1.82381,2.12714,0.04332,0.00158934,0.00158934,0.00158934
10,38.2254,1.67937,1.86305,0.0285,0.48062,0.48797,0.47431,0.21342,1.90337,1.99485,0.04562,0.00157963,0.00157963,0.00157963
11,41.6939,1.60945,1.73367,0.02725,0.54537,0.52777,0.51769,0.24137,1.94171,1.64364,0.04793,0.00156992,0.00156992,0.00156992
12,45.3307,1.53781,1.59951,0.02664,0.74425,0.60916,0.65456,0.33127,1.74789,1.58184,0.04322,0.00156021,0.00156021,0.00156021
13,48.8869,1.57695,1.60355,0.02711,0.57206,0.54524,0.55807,0.27523,1.89764,1.7858,0.04715,0.00155051,0.00155051,0.00155051
14,52.3303,1.51448,1.56337,0.02606,0.6773,0.63091,0.64175,0.33331,1.75027,1.29607,0.0386,0.0015408,0.0015408,0.0015408
15,55.916,1.55232,1.57671,0.02613,0.62439,0.58932,0.59942,0.32109,1.71487,1.51988,0.03818,0.00153109,0.00153109,0.00153109
16,59.498,1.47093,1.50405,0.02433,0.7492,0.68197,0.7401,0.39182,1.72546,1.25393,0.04052,0.00152138,0.00152138,0.00152138
17,63.0872,1.51472,1.55759,0.025,0.6415,0.62912,0.67263,0.33777,1.70083,1.74716,0.0377,0.00151167,0.00151167,0.00151167
18,66.6537,1.49978,1.45763,0.02421,0.70708,0.66506,0.68993,0.33126,1.78441,1.51353,0.04033,0.00150197,0.00150197,0.00150197
19,70.1475,1.52175,1.40915,0.02533,0.67499,0.64182,0.66972,0.33748,1.69255,1.35499,0.04013,0.00149226,0.00149226,0.00149226
20,73.665,1.49514,1.391,0.02463,0.65067,0.6317,0.64793,0.33709,1.63925,1.51395,0.0355,0.00148255,0.00148255,0.00148255
21,77.1607,1.47807,1.37929,0.02524,0.68565,0.74072,0.72829,0.38464,1.76627,1.16769,0.0415,0.00147284,0.00147284,0.00147284
22,80.653,1.50144,1.40692,0.02515,0.73374,0.66581,0.71721,0.39761,1.64123,1.28258,0.03698,0.00146314,0.00146314,0.00146314
23,84.2059,1.43855,1.32935,0.02278,0.74711,0.62294,0.70665,0.39982,1.55051,1.35019,0.03487,0.00145343,0.00145343,0.00145343
24,87.8464,1.43989,1.36689,0.02394,0.74439,0.67913,0.72947,0.3861,1.67017,1.22984,0.03766,0.00144372,0.00144372,0.00144372
25,91.3007,1.42302,1.32702,0.0234,0.7394,0.60701,0.67257,0.34315,1.74328,1.50628,0.04386,0.00143401,0.00143401,0.00143401
