epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.55914,1.46677,3.14659,0.01403,0.51903,0.65441,0.61393,0.30815,1.66444,1.4967,0.02988,0.000467673,0.000467673,0.000467673
2,9.04786,1.61173,1.59385,0.01564,0.57526,0.64995,0.6271,0.28856,1.87455,1.44395,0.03603,0.000937776,0.000937776,0.000937776
3,13.7286,1.68718,1.55473,0.01626,0.6252,0.55778,0.57375,0.23703,2.02532,1.49741,0.03707,0.00140159,0.00140159,0.00140159
4,18.1648,1.72915,1.43078,0.01671,0.6363,0.60528,0.61146,0.29765,1.82376,1.53937,0.03305,0.00140071,0.00140071,0.00140071
5,22.5931,1.66058,1.28322,0.01598,0.68827,0.73047,0.71352,0.34437,1.75827,1.27112,0.03149,0.00139127,0.00139127,0.00139127
6,27.1583,1.65012,1.22085,0.01608,0.74252,0.78725,0.78425,0.39945,1.74729,1.18488,0.03065,0.00138184,0.00138184,0.00138184
7,31.7197,1.63489,1.1783,0.01591,0.74467,0.64442,0.74856,0.38536,1.7405,1.13165,0.03055,0.00137241,0.00137241,0.00137241
8,36.1541,1.5604,1.08459,0.01494,0.82734,0.73978,0.79038,0.40046,1.74138,1.02505,0.03103,0.00136298,0.00136298,0.00136298
9,40.7839,1.57917,1.06983,0.01507,0.76027,0.76247,0.79283,0.43244,1.66675,1.0365,0.02893,0.00135355,0.00135355,0.00135355
10,45.3442,1.55439,1.04311,0.01496,0.74424,0.73057,0.74205,0.35548,1.83084,1.09955,0.03217,0.00134412,0.00134412,0.00134412
11,49.7599,1.57845,1.03161,0.01497,0.85806,0.78438,0.82317,0.44105,1.63637,0.97963,0.02793,0.00133469,0.00133469,0.00133469
12,54.313,1.52881,1.02766,0.01417,0.82267,0.80418,0.83375,0.46871,1.52209,0.90288,0.02533,0.00132525,0.00132525,0.00132525
13,58.834,1.48051,0.95314,0.01405,0.74334,0.74654,0.79147,0.43994,1.61605,0.9394,0.02899,0.00131582,0.00131582,0.00131582
14,63.2573,1.49998,0.94911,0.01378,0.80652,0.78455,0.83756,0.47497,1.60632,0.88372,0.02813,0.00130639,0.00130639,0.00130639
15,67.9233,1.49086,0.94268,0.01435,0.80794,0.77211,0.81037,0.43445,1.61248,0.95415,0.02803,0.00129696,0.00129696,0.00129696
16,72.3433,1.47702,0.89436,0.01386,0.83613,0.74516,0.80715,0.4665,1.54754,0.99176,0.02643,0.00128753,0.00128753,0.00128753
17,76.7598,1.43279,0.88978,0.01326,0.79559,0.81174,0.84317,0.4828,1.51788,0.92703,0.02567,0.0012781,0.0012781,0.0012781
18,81.3088,1.459,0.88362,0.01357,0.8006,0.78983,0.84538,0.47229,1.59517,0.86153,0.0274,0.00126867,0.00126867,0.00126867
19,85.7654,1.45895,0.8775,0.01354,0.87842,0.7642,0.85049,0.46972,1.56849,0.85412,0.02709,0.00125923,0.00125923,0.00125923
20,90.1928,1.4346,0.83307,0.01327,0.79302,0.78087,0.81079,0.44991,1.57006,0.96666,0.02686,0.0012498,0.0012498,0.0012498
21,94.6915,1.43222,0.8682,0.01331,0.81982,0.82762,0.86432,0.46635,1.6637,0.78745,0.02917,0.00124037,0.00124037,0.00124037
22,99.1145,1.42587,0.8735,0.01332,0.86736,0.7642,0.84601,0.47343,1.59571,0.85773,0.02737,0.00123094,0.00123094,0.00123094
23,103.537,1.3868,0.83476,0.01331,0.79211,0.78082,0.83154,0.46961,1.58709,0.86436,0.02725,0.00122151,0.00122151,0.00122151
24,107.987,1.38998,0.81197,0.01287,0.85983,0.82057,0.86134,0.47527,1.62014,0.82757,0.02809,0.00121208,0.00121208,0.00121208
25,112.427,1.36283,0.77389,0.01276,0.89234,0.79055,0.85649,0.46808,1.65217,0.84001,0.02919,0.00120265,0.00120265,0.00120265
26,116.851,1.36674,0.793,0.01291,0.84213,0.80969,0.85554,0.48838,1.57411,0.82353,0.02709,0.00119322,0.00119322,0.00119322
27,121.508,1.37205,0.77233,0.01264,0.83426,0.76366,0.85402,0.48158,1.54039,0.86975,0.0262,0.00118378,0.00118378,0.00118378
28,125.953,1.3616,0.76363,0.01244,0.83124,0.79574,0.84019,0.47411,1.5585,0.82557,0.02697,0.00117435,0.00117435,0.00117435
29,130.376,1.33766,0.77577,0.01228,0.80707,0.83527,0.84331,0.49095,1.54435,0.84522,0.02648,0.00116492,0.00116492,0.00116492
30,134.919,1.3256,0.73953,0.01229,0.85003,0.81226,0.85059,0.49219,1.58571,0.79254,0.02737,0.00115549,0.00115549,0.00115549
31,139.48,1.29,0.73965,0.01225,0.89191,0.79217,0.84282,0.48588,1.56052,0.87982,0.02664,0.00114606,0.00114606,0.00114606
32,144.026,1.3097,0.75195,0.01234,0.81505,0.80439,0.83993,0.48871,1.52547,0.92157,0.02588,0.00113663,0.00113663,0.00113663
33,148.456,1.3035,0.73789,0.01183,0.86856,0.81164,0.86246,0.47309,1.59557,0.7866,0.02743,0.0011272,0.0011272,0.0011272
34,152.897,1.29428,0.70526,0.01191,0.79832,0.81899,0.86875,0.49027,1.62696,0.73311,0.02805,0.00111776,0.00111776,0.00111776
35,157.315,1.26972,0.72026,0.01142,0.79443,0.83754,0.84815,0.47198,1.59515,0.83775,0.02737,0.00110833,0.00110833,0.00110833
36,161.765,1.28538,0.72016,0.01183,0.87529,0.81329,0.86183,0.49409,1.5598,0.81614,0.02664,0.0010989,0.0010989,0.0010989
37,166.328,1.26894,0.70773,0.0115,0.87382,0.80724,0.83105,0.48676,1.52771,0.91907,0.02598,0.00108947,0.00108947,0.00108947
38,170.84,1.25789,0.66761,0.01145,0.89842,0.75192,0.85523,0.49387,1.52422,0.85739,0.02533,0.00108004,0.00108004,0.00108004
39,175.296,1.24813,0.68878,0.01109,0.85838,0.82912,0.85796,0.49969,1.523,0.84863,0.02649,0.00107061,0.00107061,0.00107061
40,179.85,1.25282,0.68446,0.01122,0.88694,0.83752,0.87209,0.49832,1.51767,0.76568,0.02561,0.00106118,0.00106118,0.00106118
41,184.28,1.21662,0.64439,0.0108,0.92081,0.79547,0.86843,0.49001,1.5872,0.78651,0.02728,0.00105174,0.00105174,0.00105174
42,188.701,1.23453,0.68104,0.0111,0.85756,0.8102,0.86118,0.49901,1.52915,0.89792,0.02587,0.00104231,0.00104231,0.00104231
43,193.232,1.2148,0.6424,0.01114,0.88188,0.8148,0.86375,0.48239,1.58999,0.76793,0.0278,0.00103288,0.00103288,0.00103288
44,197.653,1.20261,0.62867,0.01083,0.88661,0.79183,0.83956,0.5029,1.52518,0.85544,0.02623,0.00102345,0.00102345,0.00102345
45,203.005,1.20715,0.63318,0.01096,0.90168,0.79486,0.86749,0.48398,1.54635,0.84857,0.02647,0.00101402,0.00101402,0.00101402
46,207.449,1.17271,0.60036,0.01053,0.85537,0.81287,0.85328,0.49278,1.52858,0.79886,0.02588,0.00100459,0.00100459,0.00100459
47,211.883,1.18068,0.609,0.01036,0.87343,0.82147,0.8732,0.4904,1.57516,0.86481,0.02716,0.000995156,0.000995156,0.000995156
48,216.313,1.15864,0.58939,0.01029,0.87475,0.80417,0.86867,0.49643,1.53691,0.87506,0.02632,0.000985724,0.000985724,0.000985724
49,220.801,1.17121,0.59995,0.01029,0.88942,0.83224,0.8675,0.48564,1.5781,0.82126,0.02675,0.000976293,0.000976293,0.000976293
50,226.004,1.17621,0.587,0.01046,0.8725,0.84057,0.8644,0.50332,1.52543,0.87685,0.02586,0.000966861,0.000966861,0.000966861
51,230.57,1.12418,0.55832,0.01009,0.89273,0.86311,0.8889,0.50669,1.5425,0.72029,0.02618,0.00095743,0.00095743,0.00095743
52,235.136,1.14234,0.58587,0.01011,0.89049,0.85245,0.86352,0.46712,1.60653,0.88015,0.02758,0.000947999,0.000947999,0.000947999
53,240.608,1.15965,0.61475,0.01036,0.88939,0.82209,0.86832,0.49787,1.5374,0.83684,0.02602,0.000938567,0.000938567,0.000938567
54,245.153,1.14179,0.57241,0.01016,0.89041,0.8344,0.8477,0.47433,1.5771,0.81576,0.0275,0.000929136,0.000929136,0.000929136
55,249.589,1.09796,0.54765,0.00946,0.86602,0.81155,0.80801,0.46039,1.62881,1.05247,0.02766,0.000919704,0.000919704,0.000919704
