epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.57985,1.46677,3.14659,0.01403,0.51903,0.65441,0.61393,0.30815,1.66444,1.4967,0.02988,0.000467673,0.000467673,0.000467673
2,9.37611,1.60264,1.62527,0.01538,0.64303,0.62537,0.64838,0.3055,1.68681,1.50455,0.03055,0.000939333,0.000939333,0.000939333
3,13.8608,1.69379,1.52972,0.01644,0.57214,0.60216,0.62932,0.30003,1.81711,1.58326,0.0323,0.00140628,0.00140628,0.00140628
4,18.3096,1.73627,1.39781,0.01672,0.71519,0.71067,0.74291,0.33234,1.85354,1.6563,0.03378,0.00140778,0.00140778,0.00140778
5,22.8747,1.70718,1.2764,0.01657,0.69946,0.72999,0.73531,0.37446,1.76205,1.37994,0.03208,0.00140071,0.00140071,0.00140071
6,27.4761,1.66994,1.21436,0.01633,0.7688,0.73781,0.81431,0.40847,1.70115,1.07294,0.03061,0.00139363,0.00139363,0.00139363
7,32.0428,1.62407,1.20274,0.01585,0.68351,0.77137,0.7728,0.42932,1.62964,1.08375,0.02812,0.00138656,0.00138656,0.00138656
8,36.7299,1.55905,1.11362,0.01485,0.77558,0.77924,0.80437,0.43518,1.6721,0.98544,0.02941,0.00137949,0.00137949,0.00137949
9,41.3005,1.57127,1.07943,0.01507,0.79248,0.76766,0.78118,0.42972,1.59044,1.07797,0.02844,0.00137241,0.00137241,0.00137241
10,45.7415,1.54658,1.06207,0.01491,0.74122,0.7854,0.80313,0.40446,1.69387,1.06302,0.02928,0.00136534,0.00136534,0.00136534
11,50.2165,1.56353,1.09143,0.01483,0.81415,0.81195,0.83606,0.45487,1.62354,1.0042,0.02812,0.00135826,0.00135826,0.00135826
12,54.7943,1.54387,1.05104,0.01426,0.80881,0.7611,0.81014,0.42849,1.67745,0.99681,0.02976,0.00135119,0.00135119,0.00135119
13,59.4794,1.50799,0.97169,0.01442,0.7995,0.78224,0.827,0.4479,1.59132,0.96697,0.02804,0.00134412,0.00134412,0.00134412
14,63.918,1.51912,0.98447,0.01402,0.82655,0.76685,0.8486,0.45608,1.63138,0.99951,0.0275,0.00133704,0.00133704,0.00133704
15,68.519,1.50397,0.99007,0.01414,0.72649,0.77438,0.79004,0.42669,1.64427,1.04996,0.02881,0.00132997,0.00132997,0.00132997
16,72.9776,1.47547,0.93416,0.01391,0.87624,0.78166,0.8404,0.47051,1.56758,0.93723,0.02713,0.0013229,0.0013229,0.0013229
17,78.3175,1.43733,0.93081,0.01313,0.83236,0.76673,0.83588,0.48267,1.57711,0.90422,0.02678,0.00131582,0.00131582,0.00131582
18,82.8975,1.49698,0.94458,0.01392,0.77652,0.83482,0.85304,0.45533,1.61314,0.88711,0.0276,0.00130875,0.00130875,0.00130875
19,87.345,1.48054,0.9246,0.01373,0.82907,0.81146,0.84559,0.45726,1.62553,0.84865,0.02852,0.00130168,0.00130168,0.00130168
20,91.8727,1.44828,0.87524,0.01348,0.82015,0.81151,0.84816,0.44957,1.60129,0.95772,0.02732,0.0012946,0.0012946,0.0012946
21,96.6574,1.42335,0.87445,0.01323,0.85277,0.7673,0.8329,0.47491,1.55422,0.9835,0.02707,0.00128753,0.00128753,0.00128753
22,101.098,1.39973,0.86923,0.01318,0.87351,0.73998,0.84322,0.45999,1.63001,0.90401,0.02797,0.00128046,0.00128046,0.00128046
23,105.554,1.37701,0.81827,0.01315,0.82129,0.78511,0.82667,0.46985,1.5502,0.90468,0.02642,0.00127338,0.00127338,0.00127338
24,110.005,1.38817,0.82194,0.01266,0.84825,0.83537,0.86251,0.474,1.55334,0.84813,0.02589,0.00126631,0.00126631,0.00126631
25,114.448,1.3632,0.795,0.01276,0.83398,0.74051,0.81471,0.43585,1.62103,0.93288,0.02857,0.00125923,0.00125923,0.00125923
26,119.001,1.38718,0.8278,0.01292,0.82279,0.84518,0.84084,0.47463,1.604,0.82878,0.02717,0.00125216,0.00125216,0.00125216
27,124.238,1.38609,0.78643,0.01276,0.84378,0.82091,0.85457,0.48115,1.60062,0.85399,0.02796,0.00124509,0.00124509,0.00124509
28,128.691,1.35914,0.7775,0.01231,0.82988,0.79608,0.85481,0.4881,1.58454,0.85948,0.02774,0.00123801,0.00123801,0.00123801
29,133.232,1.34136,0.77032,0.01224,0.83954,0.81229,0.86807,0.4807,1.58044,0.79919,0.02709,0.00123094,0.00123094,0.00123094
30,137.661,1.31804,0.75104,0.01205,0.83484,0.77125,0.83066,0.46926,1.5509,0.93854,0.02618,0.00122387,0.00122387,0.00122387
31,143.075,1.32082,0.79321,0.01239,0.84411,0.78583,0.84475,0.4827,1.52364,0.96547,0.02573,0.00121679,0.00121679,0.00121679
32,147.534,1.31822,0.74798,0.01231,0.85227,0.77767,0.853,0.48545,1.56237,0.87509,0.02651,0.00120972,0.00120972,0.00120972
33,151.967,1.35777,0.75731,0.01234,0.87505,0.75157,0.8076,0.45986,1.60093,0.98363,0.02741,0.00120265,0.00120265,0.00120265
34,156.403,1.30443,0.72902,0.01189,0.86629,0.77392,0.85297,0.48534,1.54674,0.85642,0.02604,0.00119557,0.00119557,0.00119557
35,160.852,1.27646,0.73573,0.01155,0.87671,0.8194,0.87649,0.4895,1.58925,0.86399,0.0274,0.0011885,0.0011885,0.0011885
36,166.185,1.32539,0.75,0.01227,0.81212,0.79378,0.84133,0.48768,1.56619,0.91063,0.02682,0.00118143,0.00118143,0.00118143
37,170.724,1.28656,0.7331,0.01165,0.8073,0.83707,0.84552,0.4861,1.55622,0.85773,0.02676,0.00117435,0.00117435,0.00117435
38,175.183,1.29563,0.72259,0.01171,0.82783,0.80168,0.83459,0.46957,1.55533,0.89642,0.02611,0.00116728,0.00116728,0.00116728
39,179.642,1.27321,0.72293,0.01128,0.80942,0.80187,0.85451,0.48735,1.58134,0.8884,0.0272,0.00116021,0.00116021,0.00116021
40,184.07,1.26836,0.69701,0.01135,0.85292,0.83882,0.87272,0.50312,1.51058,0.78144,0.02574,0.00115313,0.00115313,0.00115313
41,189.478,1.24286,0.64234,0.01106,0.85261,0.82449,0.86418,0.48772,1.54544,0.83946,0.02609,0.00114606,0.00114606,0.00114606
42,194.012,1.26089,0.69423,0.01136,0.86358,0.7966,0.86686,0.48311,1.544,0.85156,0.02607,0.00113898,0.00113898,0.00113898
43,198.456,1.20563,0.63688,0.01091,0.86198,0.83619,0.85813,0.45934,1.61134,0.91064,0.02798,0.00113191,0.00113191,0.00113191
44,202.905,1.22892,0.64865,0.01106,0.89898,0.78551,0.85131,0.48885,1.55368,0.9065,0.02643,0.00112484,0.00112484,0.00112484
45,207.687,1.22033,0.65178,0.01121,0.84567,0.86372,0.88296,0.50107,1.52185,0.7961,0.02544,0.00111776,0.00111776,0.00111776
46,212.136,1.18922,0.61315,0.01066,0.83579,0.84104,0.85572,0.48292,1.57534,0.85032,0.02699,0.00111069,0.00111069,0.00111069
47,216.695,1.19919,0.65283,0.01055,0.88024,0.78579,0.85832,0.50298,1.51076,0.84341,0.02582,0.00110362,0.00110362,0.00110362
48,221.158,1.19374,0.61864,0.01062,0.85873,0.77941,0.85395,0.47557,1.59859,1.01363,0.02777,0.00109654,0.00109654,0.00109654
49,225.595,1.22062,0.65066,0.01075,0.88677,0.77465,0.83985,0.46649,1.59898,0.95749,0.02839,0.00108947,0.00108947,0.00108947
50,230.04,1.20366,0.61646,0.01081,0.83431,0.83413,0.84408,0.4797,1.53099,0.92045,0.02602,0.0010824,0.0010824,0.0010824
51,235.404,1.16598,0.59921,0.01055,0.82612,0.83626,0.84716,0.50408,1.51789,0.88498,0.02542,0.00107532,0.00107532,0.00107532
52,240.086,1.17103,0.59663,0.0104,0.82815,0.83469,0.85945,0.48967,1.57332,0.83151,0.02686,0.00106825,0.00106825,0.00106825
53,244.524,1.1768,0.63631,0.01043,0.87346,0.7809,0.82455,0.47858,1.55264,0.96009,0.02647,0.00106118,0.00106118,0.00106118
54,248.972,1.16244,0.61258,0.01039,0.8618,0.83436,0.86306,0.49428,1.49946,0.87934,0.02611,0.0010541,0.0010541,0.0010541
55,253.756,1.16283,0.57728,0.01001,0.84433,0.79335,0.86986,0.50134,1.53718,0.84232,0.02593,0.00104703,0.00104703,0.00104703
56,258.442,1.15482,0.58291,0.0103,0.85357,0.81245,0.83882,0.48829,1.5451,0.92613,0.02657,0.00103995,0.00103995,0.00103995
57,262.885,1.11811,0.58715,0.00978,0.8514,0.80347,0.85594,0.47529,1.5533,0.85772,0.02643,0.00103288,0.00103288,0.00103288
58,267.323,1.11722,0.57402,0.00992,0.84184,0.83035,0.8657,0.48753,1.55157,0.84682,0.02577,0.00102581,0.00102581,0.00102581
59,271.855,1.11922,0.55141,0.00993,0.86296,0.82885,0.84998,0.48002,1.53781,0.91556,0.02572,0.00101873,0.00101873,0.00101873
60,276.44,1.13038,0.58152,0.0101,0.8199,0.80787,0.82999,0.46498,1.55449,0.96711,0.02638,0.00101166,0.00101166,0.00101166
61,281.517,1.07239,0.52415,0.00967,0.82927,0.81208,0.83713,0.48053,1.57673,0.94127,0.02604,0.00100459,0.00100459,0.00100459
62,285.982,1.11594,0.57012,0.01011,0.89584,0.80618,0.85704,0.48112,1.59372,0.89794,0.02677,0.000997513,0.000997513,0.000997513
63,290.427,1.08629,0.54344,0.00982,0.85626,0.82421,0.8619,0.49134,1.53736,0.86043,0.02606,0.00099044,0.00099044,0.00099044
64,294.879,1.06967,0.52811,0.00955,0.88829,0.79508,0.86457,0.48425,1.56351,0.89065,0.02618,0.000983366,0.000983366,0.000983366
65,299.394,1.08936,0.53394,0.00955,0.89169,0.81967,0.83897,0.47741,1.5354,0.95808,0.02606,0.000976293,0.000976293,0.000976293
66,304.773,1.07249,0.51822,0.00922,0.87752,0.7941,0.83052,0.47415,1.56468,1.02049,0.0259,0.000969219,0.000969219,0.000969219
67,309.237,1.05578,0.51309,0.00964,0.83213,0.83987,0.84082,0.4834,1.49492,0.93611,0.02467,0.000962146,0.000962146,0.000962146
68,313.707,1.02411,0.49668,0.00901,0.86741,0.81469,0.85206,0.48547,1.52788,0.95653,0.02632,0.000955072,0.000955072,0.000955072
69,318.154,1.01528,0.4822,0.00893,0.91197,0.78437,0.84895,0.48957,1.55231,0.96548,0.02686,0.000947999,0.000947999,0.000947999
