epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.93786,1.49638,3.11598,0.01443,0.4609,0.5734,0.57822,0.27929,1.64031,1.78618,0.02781,0.000467673,0.000467673,0.000467673
2,13.7072,1.60338,1.69941,0.0155,0.67854,0.59373,0.66984,0.34633,1.68113,1.45728,0.03054,0.000937776,0.000937776,0.000937776
3,17.5577,1.64498,1.55686,0.01589,0.60008,0.60132,0.57033,0.27278,1.81714,1.6379,0.03276,0.00140159,0.00140159,0.00140159
4,21.2841,1.65982,1.44236,0.01589,0.61211,0.69811,0.65507,0.31699,1.79437,1.58599,0.03211,0.00140071,0.00140071,0.00140071
5,24.9997,1.63948,1.33462,0.01589,0.69385,0.65019,0.665,0.33034,1.81503,1.27772,0.03367,0.00139127,0.00139127,0.00139127
6,28.6947,1.61432,1.25773,0.01573,0.69881,0.67757,0.68563,0.33263,1.73446,1.25838,0.03043,0.00138184,0.00138184,0.00138184
7,32.3255,1.58986,1.26217,0.01527,0.76565,0.71432,0.76069,0.40293,1.6504,1.07588,0.0285,0.00137241,0.00137241,0.00137241
8,36.0982,1.5553,1.1415,0.01487,0.78744,0.74707,0.79921,0.43291,1.63191,0.99643,0.02814,0.00136298,0.00136298,0.00136298
9,39.97,1.57532,1.10465,0.0151,0.82009,0.71533,0.81575,0.42483,1.66751,0.99005,0.02832,0.00135355,0.00135355,0.00135355
10,43.7247,1.53178,1.07629,0.01478,0.75653,0.71346,0.75845,0.40264,1.72118,1.0582,0.02972,0.00134412,0.00134412,0.00134412
11,47.4532,1.53975,1.12143,0.01465,0.73134,0.7166,0.78126,0.41407,1.71071,1.12904,0.03047,0.00133469,0.00133469,0.00133469
12,51.1902,1.5154,1.08515,0.01416,0.74199,0.74799,0.76593,0.41034,1.69517,1.03757,0.02907,0.00132525,0.00132525,0.00132525
13,55.0001,1.46779,0.98366,0.01395,0.81411,0.77867,0.84641,0.45869,1.6212,1.01201,0.02848,0.00131582,0.00131582,0.00131582
14,58.8628,1.48981,0.99893,0.01377,0.80022,0.79166,0.83607,0.45526,1.59521,0.95149,0.0278,0.00130639,0.00130639,0.00130639
15,62.5435,1.49075,1.01431,0.0141,0.83533,0.69588,0.7929,0.44174,1.57434,1.00363,0.0274,0.00129696,0.00129696,0.00129696
16,66.3074,1.47537,0.93957,0.01375,0.8569,0.76342,0.83341,0.45339,1.57587,0.87827,0.02672,0.00128753,0.00128753,0.00128753
17,70.0594,1.41656,0.9085,0.01316,0.84486,0.7993,0.84675,0.48174,1.55857,0.85482,0.0269,0.0012781,0.0012781,0.0012781
18,73.9595,1.45959,0.93853,0.0136,0.8239,0.72359,0.8129,0.45717,1.59934,0.93723,0.02729,0.00126867,0.00126867,0.00126867
19,77.7718,1.45479,0.93398,0.01355,0.75368,0.79543,0.81849,0.46705,1.58977,0.93187,0.02774,0.00125923,0.00125923,0.00125923
20,81.5679,1.42089,0.87159,0.01312,0.81657,0.8284,0.86473,0.47924,1.57796,0.79703,0.02699,0.0012498,0.0012498,0.0012498
21,85.2337,1.3821,0.88174,0.01282,0.85334,0.79927,0.86368,0.48441,1.59613,0.85138,0.02781,0.00124037,0.00124037,0.00124037
22,88.9294,1.38447,0.89803,0.01299,0.83945,0.76211,0.80314,0.44234,1.60388,1.0234,0.02772,0.00123094,0.00123094,0.00123094
23,92.4794,1.36959,0.85943,0.01305,0.77423,0.72536,0.78133,0.43717,1.62624,1.01873,0.02786,0.00122151,0.00122151,0.00122151
24,96.0636,1.36791,0.83572,0.01263,0.80922,0.82791,0.85572,0.47442,1.55014,0.86639,0.02645,0.00121208,0.00121208,0.00121208
25,99.598,1.34976,0.8506,0.01253,0.81824,0.76911,0.81275,0.47674,1.5496,0.95477,0.02609,0.00120265,0.00120265,0.00120265
26,103.149,1.36983,0.82406,0.01277,0.83691,0.73856,0.82099,0.45542,1.55015,1.00369,0.02638,0.00119322,0.00119322,0.00119322
27,106.727,1.35472,0.79772,0.01242,0.8028,0.79244,0.81819,0.47372,1.56059,0.94662,0.02684,0.00118378,0.00118378,0.00118378
28,110.285,1.3264,0.78034,0.01214,0.86521,0.76979,0.83618,0.45733,1.6253,0.88331,0.02832,0.00117435,0.00117435,0.00117435
29,113.827,1.33436,0.78227,0.01228,0.88083,0.75901,0.85061,0.47058,1.60418,0.86686,0.02738,0.00116492,0.00116492,0.00116492
30,117.379,1.31604,0.75878,0.01229,0.88828,0.75094,0.85097,0.49469,1.54011,0.90138,0.02636,0.00115549,0.00115549,0.00115549
31,121.056,1.29181,0.74391,0.0122,0.85506,0.80241,0.86183,0.48992,1.59743,0.87886,0.02745,0.00114606,0.00114606,0.00114606
32,124.586,1.30385,0.76418,0.01218,0.85554,0.79315,0.85571,0.48098,1.58516,0.88089,0.02684,0.00113663,0.00113663,0.00113663
33,128.113,1.29053,0.74011,0.01161,0.80988,0.7678,0.83568,0.47022,1.63198,0.86518,0.02828,0.0011272,0.0011272,0.0011272
34,131.676,1.29425,0.73288,0.01187,0.90201,0.76053,0.87485,0.49572,1.54484,0.88974,0.02594,0.00111776,0.00111776,0.00111776
35,135.344,1.26779,0.7162,0.01142,0.87428,0.81794,0.88855,0.50029,1.57339,0.80844,0.027,0.00110833,0.00110833,0.00110833
36,139.008,1.28469,0.72936,0.01187,0.86192,0.8367,0.87772,0.50356,1.5655,0.83092,0.02738,0.0010989,0.0010989,0.0010989
37,142.678,1.2511,0.71543,0.0113,0.86692,0.83726,0.85427,0.49281,1.59298,0.8628,0.02756,0.00108947,0.00108947,0.00108947
38,146.238,1.24579,0.71236,0.0112,0.87012,0.79178,0.82948,0.48081,1.59608,0.91716,0.02773,0.00108004,0.00108004,0.00108004
39,149.811,1.26504,0.73089,0.01137,0.82895,0.81397,0.84334,0.47446,1.60159,0.93013,0.02804,0.00107061,0.00107061,0.00107061
40,153.367,1.23013,0.69454,0.01097,0.83981,0.77624,0.85494,0.48703,1.49313,0.90268,0.0255,0.00106118,0.00106118,0.00106118
41,156.924,1.21948,0.66349,0.01088,0.87499,0.79817,0.85715,0.50252,1.49101,0.9023,0.02581,0.00105174,0.00105174,0.00105174
42,160.476,1.21191,0.66532,0.01083,0.87825,0.83641,0.88863,0.50636,1.54137,0.80255,0.02588,0.00104231,0.00104231,0.00104231
43,164.115,1.19281,0.65076,0.01079,0.89758,0.79278,0.8774,0.48403,1.61474,0.83093,0.02775,0.00103288,0.00103288,0.00103288
44,167.692,1.19224,0.6471,0.01076,0.80243,0.79014,0.83698,0.49615,1.51549,0.89415,0.02636,0.00102345,0.00102345,0.00102345
45,171.221,1.18313,0.64886,0.01071,0.81233,0.81098,0.83034,0.47631,1.51164,0.89716,0.02581,0.00101402,0.00101402,0.00101402
46,174.786,1.18188,0.60944,0.01058,0.88216,0.79264,0.85379,0.48859,1.58361,0.84792,0.02702,0.00100459,0.00100459,0.00100459
47,178.318,1.18143,0.63669,0.01034,0.859,0.83167,0.8567,0.49505,1.52977,0.86251,0.0267,0.000995156,0.000995156,0.000995156
48,181.88,1.15427,0.62528,0.01018,0.83848,0.74382,0.81911,0.46785,1.5921,1.08169,0.02831,0.000985724,0.000985724,0.000985724
49,185.419,1.17938,0.62234,0.01035,0.84571,0.81795,0.84447,0.49348,1.56925,0.92503,0.02659,0.000976293,0.000976293,0.000976293
50,188.982,1.15519,0.59435,0.01032,0.8957,0.77713,0.84499,0.49376,1.51564,0.94046,0.02568,0.000966861,0.000966861,0.000966861
51,192.522,1.12286,0.57662,0.01007,0.89922,0.76381,0.86013,0.49398,1.55156,0.81045,0.02664,0.00095743,0.00095743,0.00095743
52,196.075,1.13745,0.57928,0.01015,0.84386,0.82391,0.86494,0.49995,1.53424,0.8689,0.02619,0.000947999,0.000947999,0.000947999
53,199.61,1.13647,0.59997,0.01011,0.85776,0.81242,0.85785,0.49101,1.55281,0.88168,0.02624,0.000938567,0.000938567,0.000938567
54,203.169,1.14776,0.59321,0.01028,0.87894,0.78771,0.85651,0.49353,1.54529,0.89024,0.02635,0.000929136,0.000929136,0.000929136
55,206.709,1.11866,0.56702,0.00969,0.86557,0.78498,0.84817,0.48269,1.52971,0.98975,0.02641,0.000919704,0.000919704,0.000919704
56,210.266,1.10214,0.57261,0.00967,0.88658,0.75818,0.83871,0.48286,1.60277,0.99803,0.02748,0.000910273,0.000910273,0.000910273
57,213.811,1.10394,0.59354,0.00974,0.90308,0.74858,0.81784,0.46625,1.57917,0.99404,0.02692,0.000900842,0.000900842,0.000900842
58,217.355,1.10096,0.58854,0.00974,0.89956,0.80741,0.87438,0.50413,1.55561,0.89552,0.02613,0.00089141,0.00089141,0.00089141
59,220.905,1.07294,0.54966,0.00945,0.86519,0.8081,0.84141,0.49691,1.51616,0.98367,0.02492,0.000881979,0.000881979,0.000881979
60,224.476,1.07595,0.53466,0.00966,0.88158,0.80118,0.86262,0.48865,1.53912,0.87969,0.0256,0.000872547,0.000872547,0.000872547
61,228.009,1.03847,0.52699,0.0093,0.86259,0.76308,0.83606,0.4783,1.54543,0.94947,0.02571,0.000863116,0.000863116,0.000863116
62,231.559,1.05675,0.53617,0.00943,0.89052,0.78184,0.84029,0.48101,1.5222,0.99813,0.02561,0.000853685,0.000853685,0.000853685
63,235.12,1.02967,0.5242,0.00919,0.89741,0.78992,0.82901,0.49771,1.49374,0.9777,0.02516,0.000844253,0.000844253,0.000844253
64,238.66,1.03448,0.50165,0.0092,0.8441,0.81438,0.84851,0.50251,1.49481,1.03215,0.02538,0.000834822,0.000834822,0.000834822
65,242.195,1.04553,0.52498,0.00912,0.89344,0.76939,0.83044,0.48925,1.55536,0.97924,0.02677,0.00082539,0.00082539,0.00082539
66,245.744,1.01423,0.51548,0.00875,0.86212,0.8022,0.85049,0.49878,1.54476,0.93915,0.02598,0.000815959,0.000815959,0.000815959
67,249.296,1.02937,0.50455,0.00934,0.8895,0.8227,0.86441,0.5052,1.52746,0.8874,0.02568,0.000806528,0.000806528,0.000806528
68,252.839,0.99418,0.49428,0.00871,0.84718,0.79519,0.85137,0.48678,1.59039,0.9303,0.02733,0.000797096,0.000797096,0.000797096
69,256.361,0.98211,0.48872,0.00874,0.85937,0.85841,0.88678,0.51583,1.46021,0.86398,0.02406,0.000787665,0.000787665,0.000787665
70,260.025,0.98553,0.48397,0.00857,0.90277,0.83864,0.86838,0.49506,1.53823,0.89224,0.02589,0.000778233,0.000778233,0.000778233
