epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.68265,1.49638,3.11598,0.01443,0.4609,0.5734,0.57822,0.27929,1.64031,1.78618,0.02781,0.000467673,0.000467673,0.000467673
2,7.32061,1.59413,1.70585,0.01539,0.58017,0.6662,0.5991,0.28677,1.78844,1.59886,0.03368,0.000939758,0.000939758,0.000939758
3,11.2603,1.64588,1.59,0.01589,0.60055,0.5076,0.54369,0.2579,1.87531,1.58252,0.03343,0.00140756,0.00140756,0.00140756
4,14.8453,1.68322,1.46154,0.01615,0.61376,0.52006,0.5279,0.23266,1.91217,2.06963,0.03399,0.00140971,0.00140971,0.00140971
5,18.4189,1.63817,1.4107,0.01574,0.73269,0.61387,0.69533,0.35933,1.71607,1.31214,0.03073,0.00140328,0.00140328,0.00140328
6,22.1047,1.6006,1.30608,0.01543,0.70682,0.75751,0.77261,0.4028,1.66273,1.16209,0.02908,0.00139685,0.00139685,0.00139685
7,25.829,1.59667,1.25232,0.0154,0.80076,0.70024,0.79512,0.42444,1.69125,1.04433,0.02901,0.00139042,0.00139042,0.00139042
8,29.5453,1.51868,1.17736,0.01455,0.62434,0.69619,0.68293,0.38136,1.59046,1.29616,0.02769,0.00138399,0.00138399,0.00138399
9,33.1165,1.57582,1.15757,0.01515,0.73821,0.73978,0.75067,0.39908,1.68355,1.13184,0.02827,0.00137756,0.00137756,0.00137756
10,36.7454,1.55858,1.1162,0.01498,0.7858,0.76776,0.79861,0.42218,1.66304,0.97363,0.02926,0.00137113,0.00137113,0.00137113
11,40.3312,1.52428,1.14155,0.01444,0.7332,0.72797,0.72204,0.39446,1.66744,1.19002,0.02954,0.00136469,0.00136469,0.00136469
12,43.9316,1.53351,1.07363,0.01414,0.76247,0.75124,0.78324,0.42068,1.57384,1.10082,0.0266,0.00135826,0.00135826,0.00135826
13,47.5348,1.46546,1.02661,0.01395,0.8076,0.72032,0.78016,0.41528,1.63022,1.01484,0.02843,0.00135183,0.00135183,0.00135183
14,51.1184,1.49242,1.02511,0.01375,0.74019,0.73774,0.79348,0.45576,1.50705,1.00045,0.02563,0.0013454,0.0013454,0.0013454
15,54.9253,1.47888,1.01156,0.01404,0.79765,0.78688,0.84506,0.44785,1.59467,0.94935,0.02747,0.00133897,0.00133897,0.00133897
16,58.5501,1.46849,0.94991,0.01376,0.7566,0.80377,0.79481,0.44078,1.6068,0.97669,0.02826,0.00133254,0.00133254,0.00133254
17,62.1362,1.43235,0.92922,0.0133,0.76386,0.78282,0.82607,0.45975,1.55702,0.92642,0.02647,0.00132611,0.00132611,0.00132611
18,65.8658,1.44741,0.9301,0.01319,0.80583,0.78091,0.81199,0.43207,1.55236,0.97649,0.02578,0.00131968,0.00131968,0.00131968
19,69.4344,1.45761,0.92906,0.01352,0.82233,0.80064,0.84038,0.45702,1.59233,0.90405,0.02709,0.00131325,0.00131325,0.00131325
20,73.0333,1.41225,0.88647,0.01307,0.8593,0.76625,0.83761,0.45411,1.60516,0.99235,0.02666,0.00130682,0.00130682,0.00130682
21,76.6157,1.40831,0.88558,0.01309,0.85319,0.77102,0.84017,0.44288,1.66674,0.8533,0.02935,0.00130039,0.00130039,0.00130039
22,80.2382,1.38387,0.90101,0.01309,0.86335,0.73538,0.80394,0.46337,1.51334,1.00968,0.02601,0.00129396,0.00129396,0.00129396
