epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.27677,1.46827,2.19436,1.62862,0.27621,0.44672,0.24988,0.09375,2.0587,5.69395,2.96945,0.00053344,0.00053344,0.00053344
2,9.54802,1.82349,2.18563,1.92747,0.00649,0.4334,0.0053,0.00157,3.39929,inf,18.0176,0.0010764,0.0010764,0.0010764
3,12.7926,1.8725,2.19879,1.93436,0.02441,0.20013,0.01288,0.00383,3.79277,inf,9.81286,0.0016121,0.0016121,0.0016121
4,15.9209,1.82957,2.13294,1.90464,0.07904,0.03448,0.01156,0.00362,4.18412,6.18749,5.3669,0.00163399,0.00163399,0.00163399
5,19.0762,1.77584,2.12386,1.87576,0.08867,0.19003,0.03986,0.01154,3.00149,18.0529,4.16734,0.00162299,0.00162299,0.00162299
6,22.2801,1.75103,2.07484,1.82226,0.09845,0.18004,0.06133,0.02463,2.83356,23.8017,3.54595,0.00161199,0.00161199,0.00161199
7,25.4934,1.62313,1.98457,1.74642,0.19749,0.27382,0.17774,0.06121,2.34142,8.58823,2.73608,0.00160099,0.00160099,0.00160099
8,28.6936,1.6113,1.91026,1.7375,0.45573,0.32093,0.2484,0.09979,2.27463,3.34071,2.5514,0.00158998,0.00158998,0.00158998
9,31.9822,1.61845,1.89567,1.74411,0.32865,0.43207,0.29622,0.1003,2.10543,4.44639,2.41888,0.00157898,0.00157898,0.00157898
10,35.2853,1.57875,1.82129,1.69284,0.27079,0.40535,0.23461,0.09851,2.34844,3.68837,2.52456,0.00156798,0.00156798,0.00156798
11,38.4752,1.61569,1.85911,1.7258,0.46719,0.37363,0.39292,0.16563,2.27381,2.42246,2.51639,0.00155698,0.00155698,0.00155698
12,41.771,1.53459,1.74999,1.66649,0.47204,0.46605,0.45221,0.22687,1.93318,2.03395,2.22096,0.00154598,0.00154598,0.00154598
13,45.0452,1.52068,1.71445,1.65577,0.42545,0.4266,0.38909,0.1905,1.8231,2.33102,2.10912,0.00153497,0.00153497,0.00153497
14,48.2393,1.54851,1.77699,1.66684,0.57668,0.45778,0.51337,0.25609,1.79501,1.92354,2.00352,0.00152397,0.00152397,0.00152397
15,51.4782,1.50834,1.6917,1.6423,0.65388,0.49984,0.56483,0.25474,1.7305,2.12134,1.96346,0.00151297,0.00151297,0.00151297
16,54.7755,1.50214,1.6508,1.62927,0.59173,0.4761,0.47057,0.21708,1.99863,1.89375,2.21746,0.00150197,0.00150197,0.00150197
17,57.9663,1.49142,1.67155,1.63001,0.49868,0.54718,0.49513,0.24776,1.90249,1.69342,2.06537,0.00149096,0.00149096,0.00149096
18,61.2093,1.44805,1.58911,1.60413,0.46384,0.60034,0.54969,0.26069,1.77349,2.22936,1.96297,0.00147996,0.00147996,0.00147996
19,64.5176,1.45318,1.58833,1.59352,0.57932,0.66021,0.6236,0.3206,1.7279,1.68547,1.94917,0.00146896,0.00146896,0.00146896
20,67.7475,1.41247,1.57692,1.59481,0.62748,0.56048,0.57493,0.29666,1.68961,1.63339,1.87579,0.00145796,0.00145796,0.00145796
21,70.9155,1.38461,1.47995,1.56373,0.61618,0.59824,0.61837,0.2813,1.81858,1.53815,2.0086,0.00144696,0.00144696,0.00144696
22,74.0703,1.41808,1.56673,1.59068,0.65979,0.58968,0.62653,0.33039,1.6798,1.49604,1.9021,0.00143595,0.00143595,0.00143595
23,77.2897,1.43152,1.52024,1.58314,0.67229,0.54686,0.6101,0.32905,1.59046,1.81235,1.81977,0.00142495,0.00142495,0.00142495
24,80.4285,1.36177,1.5002,1.51852,0.62584,0.63568,0.65146,0.35256,1.52147,1.67985,1.7683,0.00141395,0.00141395,0.00141395
25,83.6689,1.38407,1.52868,1.55135,0.73888,0.5956,0.69565,0.37525,1.60991,1.52671,1.84423,0.00140295,0.00140295,0.00140295
26,86.9482,1.35838,1.4194,1.51383,0.62882,0.57514,0.60913,0.28212,1.77399,1.59208,1.905,0.00139195,0.00139195,0.00139195
27,90.1144,1.34664,1.41204,1.5084,0.69944,0.59094,0.71916,0.39178,1.55391,1.30255,1.79958,0.00138094,0.00138094,0.00138094
28,93.3348,1.35793,1.41923,1.52686,0.53624,0.52492,0.55282,0.23203,1.92795,1.91225,2.02073,0.00136994,0.00136994,0.00136994
29,96.5024,1.37013,1.45626,1.53345,0.69134,0.51641,0.53433,0.26313,1.69081,1.84869,1.89445,0.00135894,0.00135894,0.00135894
30,99.6729,1.33896,1.47734,1.53778,0.7265,0.673,0.689,0.37873,1.57577,1.50426,1.74034,0.00134794,0.00134794,0.00134794
31,102.904,1.34976,1.39182,1.50391,0.7095,0.64212,0.72376,0.39278,1.63143,1.29039,1.77354,0.00133693,0.00133693,0.00133693
32,106.14,1.35761,1.42176,1.5339,0.72689,0.71936,0.76667,0.42476,1.53972,1.21399,1.74996,0.00132593,0.00132593,0.00132593
33,109.429,1.3141,1.41101,1.50442,0.59404,0.69277,0.66307,0.36151,1.61174,1.6569,1.77683,0.00131493,0.00131493,0.00131493
34,112.599,1.32283,1.38731,1.51059,0.73855,0.72454,0.76498,0.42234,1.52513,1.1821,1.69557,0.00130393,0.00130393,0.00130393
35,115.788,1.27962,1.31486,1.45392,0.73201,0.70249,0.78014,0.44276,1.45863,1.22249,1.65395,0.00129293,0.00129293,0.00129293
36,119.044,1.29714,1.34732,1.4774,0.71046,0.63063,0.70673,0.40387,1.46692,1.3018,1.66335,0.00128192,0.00128192,0.00128192
37,122.297,1.29395,1.30615,1.48826,0.57346,0.71184,0.69572,0.38798,1.54049,1.37271,1.69743,0.00127092,0.00127092,0.00127092
38,125.437,1.31291,1.35739,1.48072,0.64698,0.70157,0.7066,0.38163,1.58477,1.37175,1.7345,0.00125992,0.00125992,0.00125992
39,128.571,1.28561,1.33059,1.46042,0.73459,0.70104,0.75687,0.43864,1.49598,1.17953,1.70124,0.00124892,0.00124892,0.00124892
40,131.717,1.22831,1.27834,1.43465,0.72385,0.64971,0.72887,0.40679,1.51384,1.24568,1.71264,0.00123791,0.00123791,0.00123791
41,134.848,1.2278,1.24669,1.41996,0.75062,0.70072,0.75468,0.44434,1.46976,1.15555,1.66574,0.00122691,0.00122691,0.00122691
42,138.009,1.24357,1.25399,1.44058,0.77436,0.62635,0.72116,0.42084,1.47273,1.29167,1.71754,0.00121591,0.00121591,0.00121591
43,141.181,1.25953,1.25357,1.4547,0.76835,0.72725,0.78875,0.46013,1.44729,1.12137,1.67491,0.00120491,0.00120491,0.00120491
44,144.389,1.30146,1.26559,1.49435,0.75486,0.64276,0.72588,0.42054,1.41608,1.21241,1.62449,0.00119391,0.00119391,0.00119391
45,147.537,1.2386,1.2441,1.43548,0.77483,0.68273,0.75385,0.44751,1.37509,1.18355,1.55815,0.0011829,0.0011829,0.0011829
46,150.655,1.23156,1.22855,1.43979,0.72394,0.71898,0.74342,0.44507,1.47017,1.17367,1.62206,0.0011719,0.0011719,0.0011719
47,153.781,1.22347,1.22583,1.42279,0.76745,0.7431,0.78485,0.46726,1.39647,1.15224,1.60995,0.0011609,0.0011609,0.0011609
48,157.036,1.21393,1.20325,1.41174,0.74865,0.71086,0.79144,0.47568,1.38949,1.14046,1.60251,0.0011499,0.0011499,0.0011499
49,160.286,1.21395,1.22959,1.41879,0.79455,0.70207,0.78036,0.45092,1.47082,1.13558,1.65959,0.00113889,0.00113889,0.00113889
50,163.439,1.17242,1.16754,1.39744,0.73583,0.73038,0.77984,0.46303,1.45368,1.18005,1.64236,0.00112789,0.00112789,0.00112789
51,166.588,1.18783,1.17034,1.41721,0.79295,0.73863,0.81138,0.47829,1.44478,1.06265,1.66293,0.00111689,0.00111689,0.00111689
52,169.802,1.14621,1.14837,1.38719,0.80862,0.7321,0.79903,0.47172,1.46212,1.07469,1.70611,0.00110589,0.00110589,0.00110589
53,172.92,1.24062,1.21634,1.43836,0.75695,0.6922,0.75433,0.42,1.46881,1.22304,1.65031,0.00109489,0.00109489,0.00109489
54,176.031,1.1836,1.17804,1.4195,0.73469,0.76039,0.79319,0.46909,1.43944,1.11999,1.62254,0.00108388,0.00108388,0.00108388
55,179.252,1.17082,1.13952,1.397,0.7394,0.76077,0.79317,0.49488,1.39849,1.0906,1.58329,0.00107288,0.00107288,0.00107288
56,182.46,1.16613,1.1232,1.38961,0.85023,0.72043,0.81089,0.46095,1.53987,1.08707,1.69974,0.00106188,0.00106188,0.00106188
57,185.563,1.1461,1.11384,1.38453,0.76877,0.74817,0.81033,0.49228,1.41225,1.06037,1.61876,0.00105088,0.00105088,0.00105088
58,188.66,1.14604,1.1064,1.36281,0.7146,0.75959,0.76735,0.45651,1.4664,1.12668,1.6599,0.00103987,0.00103987,0.00103987
59,192.272,1.17022,1.12917,1.39469,0.78224,0.67501,0.78087,0.46758,1.37383,1.10674,1.59331,0.00102887,0.00102887,0.00102887
60,195.489,1.11996,1.08185,1.34798,0.85324,0.74342,0.81352,0.49262,1.40939,1.05029,1.62117,0.00101787,0.00101787,0.00101787
61,198.751,1.13307,1.09393,1.37647,0.76805,0.79767,0.83066,0.50955,1.3887,1.00191,1.61607,0.00100687,0.00100687,0.00100687
62,202.048,1.12258,1.0926,1.3719,0.80634,0.74487,0.81462,0.49591,1.39194,1.06797,1.59308,0.000995866,0.000995866,0.000995866
63,205.24,1.09979,1.05587,1.34153,0.76523,0.76211,0.80007,0.48447,1.47686,1.09326,1.68599,0.000984864,0.000984864,0.000984864
64,208.43,1.15523,1.04906,1.37394,0.80735,0.66726,0.7734,0.41784,1.5997,1.20921,1.80845,0.000973861,0.000973861,0.000973861
65,211.635,1.1331,1.09311,1.37902,0.753,0.79552,0.79848,0.48938,1.38364,1.05621,1.5913,0.000962859,0.000962859,0.000962859
66,214.847,1.11787,1.07038,1.35149,0.81653,0.72606,0.82096,0.49039,1.38265,1.08867,1.58956,0.000951857,0.000951857,0.000951857
67,218.033,1.1222,1.06472,1.36636,0.77576,0.74875,0.80009,0.49898,1.34906,1.03389,1.58686,0.000940855,0.000940855,0.000940855
68,221.233,1.10058,1.03886,1.34988,0.85605,0.72018,0.80103,0.50689,1.35282,1.06546,1.5929,0.000929853,0.000929853,0.000929853
69,224.396,1.10197,1.03197,1.35064,0.84846,0.67717,0.80454,0.50561,1.30702,1.0315,1.55472,0.00091885,0.00091885,0.00091885
70,227.499,1.09079,1.04074,1.34186,0.78256,0.76032,0.79829,0.50109,1.35161,1.0143,1.55363,0.000907848,0.000907848,0.000907848
71,230.625,1.10096,1.04676,1.34655,0.80418,0.75384,0.80936,0.52112,1.34855,0.99614,1.58827,0.000896846,0.000896846,0.000896846
72,233.884,1.12312,1.03703,1.36768,0.76451,0.7442,0.80021,0.50052,1.39958,1.03649,1.58053,0.000885844,0.000885844,0.000885844
73,237.06,1.10245,1.01756,1.33818,0.72661,0.78926,0.80578,0.45465,1.49206,1.10416,1.68282,0.000874842,0.000874842,0.000874842
74,240.178,1.08999,1.02767,1.32659,0.79915,0.72328,0.76932,0.47576,1.3789,1.05537,1.6133,0.000863839,0.000863839,0.000863839
75,243.265,1.10872,1.0426,1.34293,0.76711,0.76161,0.81262,0.49806,1.39343,1.03547,1.60104,0.000852837,0.000852837,0.000852837
76,246.372,1.08189,1.00917,1.33839,0.81727,0.73982,0.82126,0.50881,1.36345,0.9904,1.55458,0.000841835,0.000841835,0.000841835
77,249.48,1.07729,0.98813,1.31734,0.88223,0.76302,0.84117,0.52378,1.35646,0.97853,1.56545,0.000830833,0.000830833,0.000830833
78,252.652,1.06898,0.95278,1.31968,0.82973,0.76464,0.83179,0.54545,1.25286,0.89485,1.48394,0.000819831,0.000819831,0.000819831
79,255.876,1.06161,1.02189,1.31898,0.85942,0.68917,0.81263,0.51787,1.33706,0.94353,1.55842,0.000808828,0.000808828,0.000808828
80,259.045,1.0436,0.95665,1.30158,0.80472,0.75626,0.80575,0.51338,1.28976,0.99049,1.53296,0.000797826,0.000797826,0.000797826
81,262.225,1.03628,0.95005,1.30041,0.76327,0.7838,0.81611,0.51269,1.34888,0.98689,1.581,0.000786824,0.000786824,0.000786824
82,265.384,1.0326,0.91035,1.28944,0.85861,0.68847,0.82002,0.52629,1.31953,0.96726,1.53754,0.000775822,0.000775822,0.000775822
83,268.536,1.02767,0.92532,1.28468,0.85508,0.72151,0.82586,0.54231,1.30378,0.9288,1.52705,0.00076482,0.00076482,0.00076482
84,271.669,1.05849,0.96876,1.33087,0.79426,0.77206,0.8252,0.50844,1.35995,0.96826,1.58445,0.000753817,0.000753817,0.000753817
85,274.781,1.06024,0.96241,1.31353,0.83037,0.75719,0.81128,0.52636,1.31503,0.97432,1.53805,0.000742815,0.000742815,0.000742815
86,277.919,1.03025,0.95297,1.29939,0.79962,0.77328,0.81221,0.48531,1.40774,1.01691,1.62107,0.000731813,0.000731813,0.000731813
87,281.008,1.02194,0.90276,1.27749,0.81653,0.77177,0.84664,0.53488,1.30305,0.90647,1.51539,0.000720811,0.000720811,0.000720811
88,284.109,1.03338,0.91569,1.30057,0.90012,0.7721,0.84539,0.53326,1.31346,0.92315,1.53334,0.000709809,0.000709809,0.000709809
89,287.227,1.03207,0.90017,1.28232,0.8005,0.77038,0.82508,0.51353,1.36042,0.98036,1.56789,0.000698806,0.000698806,0.000698806
90,290.376,1.01069,0.91822,1.28372,0.83166,0.75711,0.83255,0.52102,1.32734,0.96099,1.55273,0.000687804,0.000687804,0.000687804
91,293.473,1.00399,0.8735,1.29032,0.82947,0.71891,0.81504,0.5271,1.29763,0.9812,1.55137,0.000676802,0.000676802,0.000676802
92,296.592,0.99082,0.90055,1.27959,0.79646,0.74391,0.80599,0.52349,1.27355,1.02296,1.54076,0.0006658,0.0006658,0.0006658
93,299.68,0.96712,0.86249,1.26077,0.85407,0.72435,0.79445,0.50663,1.29106,1.00589,1.54535,0.000654798,0.000654798,0.000654798
94,302.806,0.9872,0.86613,1.26981,0.80735,0.76507,0.82121,0.52375,1.29029,0.99722,1.52526,0.000643795,0.000643795,0.000643795
95,305.909,1.01563,0.91822,1.29743,0.78846,0.74664,0.80677,0.52313,1.27966,0.95661,1.51903,0.000632793,0.000632793,0.000632793
96,309.062,0.97676,0.8828,1.25259,0.82029,0.79493,0.83441,0.54966,1.26371,0.90446,1.50415,0.000621791,0.000621791,0.000621791
97,312.274,1.01134,0.88973,1.29693,0.83237,0.81241,0.86322,0.56145,1.31391,0.87546,1.549,0.000610789,0.000610789,0.000610789
98,315.495,0.93542,0.82911,1.24231,0.79013,0.81039,0.83788,0.50755,1.37647,0.96503,1.60476,0.000599787,0.000599787,0.000599787
99,318.667,0.96589,0.83321,1.25448,0.87009,0.74917,0.81044,0.50856,1.30819,0.96016,1.56717,0.000588784,0.000588784,0.000588784
100,321.85,0.94814,0.82226,1.25807,0.82049,0.78578,0.83776,0.54592,1.27217,0.88442,1.50409,0.000577782,0.000577782,0.000577782
101,325.07,0.96598,0.83546,1.2734,0.82453,0.75513,0.80078,0.51857,1.30784,0.96903,1.55369,0.00056678,0.00056678,0.00056678
102,328.224,0.96027,0.82358,1.26263,0.82927,0.75851,0.81256,0.53519,1.31867,0.94919,1.55311,0.000555778,0.000555778,0.000555778
103,331.389,0.95145,0.84047,1.25946,0.85051,0.75212,0.82342,0.53735,1.24858,0.88365,1.48092,0.000544776,0.000544776,0.000544776
104,334.563,0.95304,0.84307,1.25747,0.89019,0.74905,0.84962,0.56745,1.22477,0.83992,1.49061,0.000533773,0.000533773,0.000533773
105,337.825,0.91459,0.81585,1.23012,0.80779,0.77337,0.83364,0.53198,1.29115,0.93889,1.54481,0.000522771,0.000522771,0.000522771
106,340.98,0.91214,0.80108,1.23629,0.82392,0.77973,0.81923,0.54598,1.24677,0.90305,1.50496,0.000511769,0.000511769,0.000511769
107,344.114,0.92592,0.79769,1.23221,0.79652,0.7839,0.82109,0.53356,1.29505,0.94034,1.53521,0.000500767,0.000500767,0.000500767
108,347.277,0.94631,0.8188,1.24024,0.85647,0.75805,0.81412,0.53216,1.2594,0.91936,1.51883,0.000489765,0.000489765,0.000489765
109,350.442,0.94333,0.83477,1.24568,0.85229,0.7625,0.82484,0.5368,1.23896,0.96543,1.47928,0.000478762,0.000478762,0.000478762
110,353.588,0.95126,0.76703,1.23228,0.86177,0.74203,0.83075,0.5432,1.25144,0.95546,1.49389,0.00046776,0.00046776,0.00046776
111,356.743,0.92186,0.77808,1.22994,0.91069,0.76909,0.85052,0.5526,1.26087,0.86632,1.50748,0.000456758,0.000456758,0.000456758
112,359.908,0.90718,0.79243,1.22931,0.86342,0.77417,0.83223,0.55201,1.24913,0.89117,1.495,0.000445756,0.000445756,0.000445756
113,363.041,0.87697,0.75854,1.20153,0.84193,0.74615,0.81105,0.51972,1.30682,0.9265,1.54236,0.000434754,0.000434754,0.000434754
114,366.208,0.91662,0.80665,1.24061,0.85423,0.78242,0.8404,0.54351,1.29222,0.90704,1.53056,0.000423751,0.000423751,0.000423751
115,369.384,0.94265,0.79136,1.24093,0.87259,0.77973,0.84677,0.54158,1.29095,0.86622,1.51277,0.000412749,0.000412749,0.000412749
116,372.605,0.87766,0.7744,1.19982,0.8332,0.76549,0.83844,0.52377,1.33051,0.92156,1.55041,0.000401747,0.000401747,0.000401747
117,375.755,0.89465,0.74698,1.21674,0.85568,0.7772,0.8228,0.54637,1.26652,0.90167,1.5093,0.000390745,0.000390745,0.000390745
118,378.93,0.87469,0.72828,1.20777,0.83354,0.77388,0.81939,0.54112,1.26642,0.91092,1.50344,0.000379743,0.000379743,0.000379743
119,382.101,0.88536,0.76252,1.20829,0.82239,0.76739,0.82925,0.54514,1.26513,0.90757,1.50521,0.00036874,0.00036874,0.00036874
120,385.258,0.87205,0.71929,1.19209,0.87237,0.76786,0.83765,0.5416,1.26952,0.90939,1.50006,0.000357738,0.000357738,0.000357738
121,388.437,0.88076,0.74262,1.21256,0.84801,0.78867,0.84031,0.54576,1.27518,0.91196,1.50178,0.000346736,0.000346736,0.000346736
122,391.594,0.88603,0.73786,1.20832,0.83043,0.79337,0.83645,0.54091,1.29918,0.91447,1.55158,0.000335734,0.000335734,0.000335734
123,394.758,0.88093,0.75247,1.2132,0.83548,0.74609,0.80229,0.51835,1.27543,0.94187,1.51819,0.000324732,0.000324732,0.000324732
124,398.006,0.86069,0.7518,1.20489,0.85781,0.76029,0.825,0.53184,1.30314,0.94798,1.5529,0.000313729,0.000313729,0.000313729
125,401.152,0.85599,0.73186,1.20644,0.8977,0.75851,0.83713,0.54486,1.26867,0.92836,1.52195,0.000302727,0.000302727,0.000302727
126,404.311,0.85642,0.69305,1.18906,0.84133,0.79131,0.83702,0.56183,1.24007,0.92786,1.4975,0.000291725,0.000291725,0.000291725
127,407.483,0.8507,0.71052,1.18535,0.86378,0.75491,0.83185,0.5497,1.25527,0.91063,1.50543,0.000280723,0.000280723,0.000280723
128,410.62,0.85701,0.69994,1.19501,0.85727,0.76778,0.83193,0.55334,1.24651,0.90389,1.51424,0.000269721,0.000269721,0.000269721
129,413.778,0.85652,0.67854,1.18602,0.87271,0.77212,0.83521,0.54039,1.28073,0.87776,1.54154,0.000258718,0.000258718,0.000258718
130,416.925,0.81435,0.66783,1.1625,0.8641,0.75701,0.83776,0.54032,1.27569,0.9146,1.54641,0.000247716,0.000247716,0.000247716
131,420.056,0.85272,0.72004,1.18359,0.84967,0.75949,0.83147,0.53499,1.28917,0.92644,1.53352,0.000236714,0.000236714,0.000236714
132,423.219,0.85018,0.69914,1.19272,0.8731,0.76356,0.82987,0.55531,1.23695,0.8984,1.51362,0.000225712,0.000225712,0.000225712
133,426.389,0.8373,0.70139,1.18498,0.84251,0.7855,0.83521,0.54157,1.27625,0.87579,1.54249,0.00021471,0.00021471,0.00021471
134,429.523,0.83407,0.69783,1.17453,0.89636,0.77253,0.85316,0.54834,1.26261,0.85774,1.54319,0.000203707,0.000203707,0.000203707
135,432.667,0.82078,0.67931,1.17551,0.86327,0.72633,0.8257,0.54999,1.2675,0.89029,1.54146,0.000192705,0.000192705,0.000192705
136,435.811,0.82306,0.68349,1.17891,0.83939,0.76356,0.82733,0.55583,1.25606,0.89788,1.5198,0.000181703,0.000181703,0.000181703
137,438.979,0.83678,0.65766,1.16983,0.87665,0.76678,0.84918,0.56062,1.25198,0.89336,1.52837,0.000170701,0.000170701,0.000170701
138,442.103,0.84021,0.68271,1.18629,0.84244,0.7777,0.83377,0.55844,1.25728,0.91903,1.51442,0.000159699,0.000159699,0.000159699
139,445.244,0.79889,0.66404,1.16502,0.87014,0.75593,0.83639,0.56022,1.24485,0.91423,1.50196,0.000148696,0.000148696,0.000148696
140,448.423,0.79323,0.63988,1.15313,0.82583,0.79482,0.83964,0.54679,1.24777,0.93356,1.51323,0.000137694,0.000137694,0.000137694
141,451.943,0.69225,0.52929,1.11231,0.85333,0.77866,0.83649,0.53283,1.2748,0.9058,1.52693,0.000126692,0.000126692,0.000126692
142,455.132,0.68778,0.49396,1.11232,0.83127,0.79906,0.82842,0.54218,1.25361,0.91608,1.52538,0.00011569,0.00011569,0.00011569
143,458.27,0.70003,0.49946,1.12968,0.82202,0.80533,0.83455,0.55132,1.24859,0.88238,1.51862,0.000104688,0.000104688,0.000104688
144,461.401,0.66429,0.47643,1.09815,0.87635,0.74441,0.82668,0.55302,1.2634,0.88728,1.53425,9.36854e-05,9.36854e-05,9.36854e-05
145,464.574,0.65412,0.45393,1.07607,0.88134,0.76588,0.82413,0.54148,1.25993,0.88849,1.53459,8.26832e-05,8.26832e-05,8.26832e-05
146,467.718,0.65262,0.46168,1.09567,0.84354,0.75826,0.81647,0.54521,1.25837,0.88804,1.53802,7.1681e-05,7.1681e-05,7.1681e-05
147,470.845,0.67495,0.46184,1.10835,0.86509,0.76562,0.82514,0.5496,1.24215,0.89075,1.51844,6.06788e-05,6.06788e-05,6.06788e-05
148,473.979,0.65973,0.44785,1.08837,0.88412,0.73556,0.81296,0.54886,1.23481,0.9067,1.51654,4.96766e-05,4.96766e-05,4.96766e-05
149,477.112,0.61863,0.44616,1.06971,0.89974,0.73861,0.82622,0.5529,1.23635,0.89688,1.52156,3.86744e-05,3.86744e-05,3.86744e-05
150,480.264,0.62978,0.43031,1.06119,0.88391,0.74245,0.82858,0.55292,1.24012,0.88837,1.52418,2.76722e-05,2.76722e-05,2.76722e-05
