epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.87391,1.22991,4.01853,0.01859,0.32826,0.31475,0.27796,0.14708,1.53289,2.89833,0.03658,0.00053344,0.00053344,0.00053344
2,10.4121,1.50282,2.36186,0.02682,0.17724,0.22892,0.14997,0.06706,2.28062,2.85488,0.05813,0.0010764,0.0010764,0.0010764
3,13.9125,1.66332,2.17919,0.02987,0.23476,0.35648,0.17538,0.0571,2.34693,3.35583,0.06098,0.0016121,0.0016121,0.0016121
4,17.483,1.71067,2.04345,0.0301,0.20063,0.11387,0.08351,0.02582,2.45319,5.30036,0.06036,0.00163399,0.00163399,0.00163399
5,20.9688,1.75712,1.97529,0.03018,0.43115,0.40534,0.34652,0.14071,2.05063,2.16409,0.0528,0.00162299,0.00162299,0.00162299
6,24.4565,1.70882,1.91255,0.02951,0.41231,0.44695,0.38942,0.16324,2.0188,2.39536,0.04982,0.00161199,0.00161199,0.00161199
7,28.0555,1.79198,1.87164,0.03198,0.32621,0.59206,0.3728,0.16417,2.06329,3.76537,0.05228,0.00160099,0.00160099,0.00160099
8,31.661,1.70942,1.88504,0.03015,0.49156,0.44736,0.42661,0.18955,1.98518,2.29017,0.04769,0.00158998,0.00158998,0.00158998
9,35.2927,1.61907,1.75732,0.02721,0.56369,0.58819,0.5389,0.24875,1.78823,1.97593,0.04146,0.00157898,0.00157898,0.00157898
10,38.9579,1.64648,1.68622,0.02769,0.54996,0.50553,0.51183,0.2226,2.01365,1.82353,0.04965,0.00156798,0.00156798,0.00156798
11,42.4452,1.64748,1.6973,0.02799,0.56332,0.51563,0.51916,0.25571,1.87191,1.87945,0.04554,0.00155698,0.00155698,0.00155698
12,46.0268,1.57274,1.53435,0.02757,0.4913,0.51284,0.51772,0.25652,1.90288,2.03193,0.04763,0.00154598,0.00154598,0.00154598
13,49.609,1.52402,1.5753,0.02576,0.53722,0.61155,0.57937,0.25542,1.82523,1.68299,0.04372,0.00153497,0.00153497,0.00153497
14,53.1073,1.53796,1.53852,0.02636,0.67539,0.58969,0.62186,0.3176,1.7417,1.55857,0.03985,0.00152397,0.00152397,0.00152397
15,56.7124,1.5215,1.57596,0.02589,0.68016,0.62067,0.67355,0.34821,1.69357,1.51993,0.03773,0.00151297,0.00151297,0.00151297
16,60.3122,1.47289,1.47638,0.02462,0.65774,0.59287,0.64005,0.34552,1.69523,1.41869,0.03846,0.00150197,0.00150197,0.00150197
17,63.7807,1.50834,1.59356,0.02474,0.57552,0.58997,0.62487,0.34947,1.67784,1.49826,0.03945,0.00149096,0.00149096,0.00149096
18,67.3218,1.50638,1.41978,0.02428,0.71337,0.55554,0.65015,0.33231,1.81719,1.44316,0.04479,0.00147996,0.00147996,0.00147996
19,70.7586,1.47598,1.38505,0.02415,0.69962,0.65082,0.67196,0.35648,1.68771,1.40654,0.03835,0.00146896,0.00146896,0.00146896
20,74.3002,1.47489,1.42557,0.02423,0.72729,0.63762,0.69426,0.36501,1.70297,1.34145,0.0408,0.00145796,0.00145796,0.00145796
21,77.8895,1.46421,1.40237,0.02435,0.73529,0.58067,0.68593,0.39408,1.55356,1.33695,0.03541,0.00144696,0.00144696,0.00144696
22,81.4051,1.44324,1.40082,0.02392,0.67591,0.69959,0.69379,0.35335,1.5557,1.27956,0.0342,0.00143595,0.00143595,0.00143595
23,84.844,1.48036,1.34131,0.02377,0.69282,0.65861,0.67523,0.34405,1.7735,1.2408,0.04012,0.00142495,0.00142495,0.00142495
