epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.70753,1.29678,3.76169,0.01958,0.44271,0.70743,0.49399,0.24676,1.63623,2.38343,0.03803,0.00053344,0.00053344,0.00053344
2,12.0075,1.52708,2.27828,0.02715,0.25733,0.30161,0.16513,0.06241,2.18833,2.91162,0.05863,0.00107724,0.00107724,0.00107724
3,16.4014,1.75633,2.1797,0.0321,0.36433,0.32409,0.23649,0.08718,2.53894,2.99827,0.0722,0.00161463,0.00161463,0.00161463
4,20.7431,1.78369,2.08644,0.03132,0.18996,0.28327,0.14478,0.03957,2.6405,3.54492,0.06737,0.00163788,0.00163788,0.00163788
5,25.0138,1.76995,2.09009,0.03045,0.07497,0.0449,0.00477,0.00122,3.65696,5.77529,0.10611,0.00162817,0.00162817,0.00162817
6,29.2985,1.74242,1.99113,0.03043,0.30617,0.21522,0.15399,0.04799,2.76611,3.42006,0.07011,0.00161846,0.00161846,0.00161846
7,33.6603,1.81387,1.96466,0.03295,0.34317,0.48451,0.33136,0.1311,2.24529,2.50735,0.05767,0.00160875,0.00160875,0.00160875
8,37.9384,1.76812,1.99093,0.03095,0.55984,0.45134,0.44171,0.1839,2.16361,2.33099,0.05392,0.00159905,0.00159905,0.00159905
9,42.4089,1.72718,1.9004,0.02963,0.51041,0.62661,0.56375,0.24496,1.91904,1.7992,0.04497,0.00158934,0.00158934,0.00158934
10,46.8099,1.67956,1.83939,0.02873,0.48395,0.4628,0.43995,0.19944,1.91417,2.14026,0.04789,0.00157963,0.00157963,0.00157963
11,51.1385,1.64681,1.77031,0.02814,0.62914,0.42541,0.51523,0.25266,1.84664,1.83821,0.04375,0.00156992,0.00156992,0.00156992
12,55.5926,1.52739,1.62251,0.0261,0.66938,0.56128,0.60093,0.30247,1.69929,1.63692,0.03809,0.00156021,0.00156021,0.00156021
13,59.9951,1.56641,1.66841,0.02644,0.688,0.5869,0.63599,0.3262,1.70745,1.42363,0.03894,0.00155051,0.00155051,0.00155051
14,64.4783,1.56971,1.57534,0.02666,0.58757,0.52315,0.55265,0.26463,1.81481,1.61129,0.04222,0.0015408,0.0015408,0.0015408
15,68.741,1.56818,1.57161,0.02692,0.77296,0.64926,0.71993,0.38639,1.73756,1.30562,0.03868,0.00153109,0.00153109,0.00153109
16,73.1629,1.53015,1.53766,0.02581,0.6858,0.63165,0.69602,0.36406,1.73777,1.29946,0.03995,0.00152138,0.00152138,0.00152138
17,77.5683,1.58589,1.57519,0.02604,0.65243,0.65431,0.65167,0.34527,1.68881,1.43279,0.03814,0.00151167,0.00151167,0.00151167
18,81.8511,1.49725,1.46098,0.02462,0.65756,0.65002,0.67432,0.32442,1.82792,1.43027,0.04319,0.00150197,0.00150197,0.00150197
19,86.1159,1.49547,1.41321,0.02442,0.66059,0.65791,0.69941,0.3537,1.6419,1.27229,0.03713,0.00149226,0.00149226,0.00149226
20,90.4669,1.49886,1.43678,0.02485,0.66151,0.50213,0.54325,0.27472,1.8,1.57043,0.04042,0.00148255,0.00148255,0.00148255
21,94.7282,1.4427,1.39114,0.02401,0.72576,0.63759,0.7182,0.40245,1.63852,1.2248,0.03729,0.00147284,0.00147284,0.00147284
22,99.1414,1.44482,1.36786,0.02369,0.72331,0.62343,0.67611,0.33891,1.73577,1.29262,0.03951,0.00146314,0.00146314,0.00146314
23,103.423,1.4639,1.37774,0.02319,0.68003,0.53277,0.65059,0.33817,1.70979,1.52633,0.03896,0.00145343,0.00145343,0.00145343
24,107.804,1.43484,1.3662,0.02401,0.69576,0.63511,0.7034,0.39568,1.59715,1.2345,0.03498,0.00144372,0.00144372,0.00144372
