epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.14823,0.52197,0.3384,0.94043,0.88356,0.80937,0.8734,0.51945,1.50967,0.90045,1.79331,0.000467673,0.000467673,0.000467673
2,126.761,0.55634,0.34706,0.94128,0.89731,0.79428,0.85913,0.51403,1.47532,0.78999,1.70063,0.000939333,0.000939333,0.000939333
3,129.992,0.61693,0.37762,0.96516,0.92445,0.71364,0.80779,0.4804,1.52413,0.90916,1.67904,0.00140628,0.00140628,0.00140628
4,133.14,0.66648,0.40289,0.98494,0.85729,0.8387,0.8705,0.49193,1.54961,0.82555,1.71077,0.00140778,0.00140778,0.00140778
5,136.264,0.68861,0.42181,0.98904,0.88865,0.78416,0.83969,0.49305,1.57475,0.88601,1.68121,0.00140071,0.00140071,0.00140071
6,139.409,0.69213,0.42838,0.99124,0.84523,0.74225,0.79214,0.47421,1.54161,0.99153,1.64273,0.00139363,0.00139363,0.00139363
7,142.568,0.69493,0.43937,1.00048,0.894,0.76512,0.82099,0.47737,1.58306,0.95347,1.75092,0.00138656,0.00138656,0.00138656
8,145.707,0.69765,0.44037,0.99587,0.88755,0.79266,0.87103,0.4874,1.54338,0.84305,1.7107,0.00137949,0.00137949,0.00137949
9,148.856,0.70745,0.43197,1.00191,0.8773,0.73352,0.82908,0.48566,1.5178,1.01372,1.71553,0.00137241,0.00137241,0.00137241
10,152.01,0.70722,0.42579,1.00164,0.86728,0.77939,0.839,0.49014,1.5435,0.89279,1.76292,0.00136534,0.00136534,0.00136534
11,155.163,0.68547,0.43504,0.98926,0.82925,0.80774,0.82599,0.4679,1.50318,0.90683,1.72607,0.00135826,0.00135826,0.00135826
12,158.304,0.67748,0.41917,0.97773,0.88602,0.79033,0.85108,0.48734,1.55376,0.8928,1.75553,0.00135119,0.00135119,0.00135119
13,161.457,0.67849,0.42479,0.99086,0.90077,0.73126,0.8291,0.48349,1.53142,1.02467,1.69839,0.00134412,0.00134412,0.00134412
14,164.608,0.71534,0.44576,0.99581,0.83292,0.78408,0.81851,0.46934,1.56425,0.91161,1.75981,0.00133704,0.00133704,0.00133704
15,167.763,0.68158,0.4186,0.98844,0.90092,0.7554,0.86175,0.48516,1.54878,0.87694,1.72389,0.00132997,0.00132997,0.00132997
16,170.928,0.67025,0.40663,0.97614,0.87763,0.74604,0.82293,0.4841,1.51719,0.92132,1.69419,0.0013229,0.0013229,0.0013229
17,174.091,0.67215,0.40514,0.97805,0.8641,0.79532,0.83848,0.48951,1.48266,0.87375,1.65853,0.00131582,0.00131582,0.00131582
18,177.262,0.68101,0.4112,0.98406,0.87525,0.78915,0.83471,0.48834,1.52503,0.87507,1.74253,0.00130875,0.00130875,0.00130875
19,180.427,0.66515,0.40714,0.98091,0.81809,0.84341,0.86241,0.50422,1.54851,0.81597,1.75229,0.00130168,0.00130168,0.00130168
20,183.599,0.65539,0.40579,0.97471,0.87815,0.83351,0.87186,0.50371,1.51233,0.85932,1.71647,0.0012946,0.0012946,0.0012946
21,186.781,0.65801,0.40477,0.97097,0.88645,0.78633,0.83471,0.48896,1.523,0.95851,1.7371,0.00128753,0.00128753,0.00128753
22,189.966,0.65644,0.4003,0.97891,0.84536,0.79145,0.84022,0.49038,1.55296,0.90346,1.78184,0.00128046,0.00128046,0.00128046
23,193.139,0.64447,0.403,0.96934,0.87017,0.7812,0.81808,0.47498,1.54815,0.87834,1.73285,0.00127338,0.00127338,0.00127338
24,196.325,0.64362,0.39507,0.97449,0.91975,0.75336,0.82587,0.47531,1.54177,0.95532,1.73935,0.00126631,0.00126631,0.00126631
25,199.497,0.64944,0.39512,0.96805,0.86686,0.7818,0.83596,0.46546,1.56343,0.8936,1.76004,0.00125923,0.00125923,0.00125923
26,202.731,0.65329,0.40309,0.97168,0.88345,0.78462,0.85557,0.50647,1.5209,0.8553,1.76251,0.00125216,0.00125216,0.00125216
27,205.939,0.62868,0.38614,0.95754,0.88865,0.80645,0.85126,0.50239,1.51486,0.8781,1.73216,0.00124509,0.00124509,0.00124509
