epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.07935,0.78722,0.47594,1.0787,0.87485,0.8119,0.86491,0.50833,1.52248,0.86967,1.90629,0.000467673,0.000467673,0.000467673
2,8.2275,0.8176,0.49686,1.09737,0.86235,0.80153,0.84836,0.48491,1.54117,0.86622,1.91552,0.000939333,0.000939333,0.000939333
3,12.2581,0.87865,0.54717,1.13677,0.87289,0.75479,0.84766,0.48184,1.56881,0.89772,1.97755,0.00140628,0.00140628,0.00140628
4,16.2642,0.9446,0.58318,1.17636,0.7765,0.78849,0.81921,0.46042,1.5719,0.89824,1.92691,0.00140778,0.00140778,0.00140778
5,20.2507,0.96002,0.59712,1.17514,0.84606,0.75585,0.83239,0.46205,1.61654,0.90083,1.94822,0.00140071,0.00140071,0.00140071
6,24.2854,0.96472,0.61154,1.18949,0.78357,0.81687,0.82084,0.46442,1.57105,0.89479,1.91501,0.00139363,0.00139363,0.00139363
7,28.298,0.97001,0.61775,1.19777,0.84801,0.7861,0.83296,0.48347,1.5143,0.91536,1.90014,0.00138656,0.00138656,0.00138656
8,32.3017,0.96101,0.62046,1.19213,0.85361,0.78442,0.84952,0.47081,1.57415,0.9219,1.86964,0.00137949,0.00137949,0.00137949
9,36.2903,0.9513,0.59645,1.1828,0.85934,0.82156,0.84626,0.48734,1.53719,0.86638,1.83435,0.00137241,0.00137241,0.00137241
10,40.3075,0.96287,0.59816,1.18453,0.84024,0.80112,0.83844,0.45982,1.5823,0.87372,1.90116,0.00136534,0.00136534,0.00136534
11,44.3089,0.93316,0.59527,1.18036,0.7964,0.82472,0.83562,0.47386,1.55641,0.91305,1.90894,0.00135826,0.00135826,0.00135826
12,48.3518,0.91234,0.57405,1.1621,0.88809,0.77031,0.8607,0.49167,1.57851,0.87116,1.89844,0.00135119,0.00135119,0.00135119
13,52.3848,0.91982,0.58003,1.17155,0.84262,0.83667,0.84786,0.47914,1.53895,0.88236,1.83288,0.00134412,0.00134412,0.00134412
14,56.4251,0.92493,0.57864,1.1602,0.84293,0.77377,0.8218,0.45641,1.58744,0.94801,1.9977,0.00133704,0.00133704,0.00133704
15,60.4619,0.92957,0.57921,1.17352,0.9076,0.80962,0.87622,0.50382,1.56125,0.80933,1.84841,0.00132997,0.00132997,0.00132997
16,64.5432,0.90939,0.56669,1.16104,0.88319,0.81632,0.85335,0.5002,1.48988,0.83073,1.8267,0.0013229,0.0013229,0.0013229
17,68.6512,0.90411,0.55177,1.16152,0.87255,0.82348,0.84984,0.47909,1.56592,0.85107,1.89827,0.00131582,0.00131582,0.00131582
18,72.7581,0.93042,0.56917,1.17573,0.85923,0.84334,0.86413,0.49748,1.56832,0.8279,1.92486,0.00130875,0.00130875,0.00130875
19,76.7937,0.89324,0.55333,1.14694,0.93908,0.76495,0.86498,0.49198,1.54882,0.80757,1.86044,0.00130168,0.00130168,0.00130168
20,80.8751,0.89765,0.55002,1.14491,0.8383,0.85673,0.86045,0.49202,1.55759,0.81955,1.85864,0.0012946,0.0012946,0.0012946
21,84.94,0.89367,0.54398,1.13919,0.87808,0.7531,0.86359,0.48237,1.5686,0.85376,1.924,0.00128753,0.00128753,0.00128753
22,89.0236,0.90771,0.55335,1.15836,0.85884,0.80339,0.85056,0.5012,1.49336,0.82086,1.8228,0.00128046,0.00128046,0.00128046
23,93.0828,0.87675,0.5406,1.15247,0.87527,0.78728,0.86375,0.50389,1.52865,0.81358,1.91663,0.00127338,0.00127338,0.00127338
24,97.1846,0.86166,0.53043,1.13951,0.8354,0.82914,0.86129,0.49066,1.59095,0.85601,1.92871,0.00126631,0.00126631,0.00126631
25,101.252,0.86938,0.5221,1.12818,0.83317,0.87781,0.87645,0.51036,1.52645,0.77963,1.88647,0.00125923,0.00125923,0.00125923
26,105.427,0.86048,0.5307,1.13427,0.8708,0.777,0.84018,0.48901,1.55874,0.91525,1.89472,0.00125216,0.00125216,0.00125216
27,109.514,0.84718,0.50656,1.12024,0.83522,0.80487,0.85026,0.48909,1.537,0.85338,1.87978,0.00124509,0.00124509,0.00124509
28,113.58,0.85286,0.53002,1.11614,0.87015,0.82189,0.86642,0.49294,1.5334,0.82019,1.90258,0.00123801,0.00123801,0.00123801
29,117.617,0.85338,0.52691,1.11054,0.85778,0.80198,0.8537,0.50345,1.48518,0.80986,1.86868,0.00123094,0.00123094,0.00123094
30,121.684,0.8319,0.50804,1.11256,0.86408,0.80988,0.85491,0.4978,1.55764,0.87849,1.93932,0.00122387,0.00122387,0.00122387
31,125.814,0.86275,0.52346,1.12654,0.84467,0.82547,0.8641,0.49501,1.51146,0.82256,1.90337,0.00121679,0.00121679,0.00121679
32,129.882,0.83922,0.50629,1.11125,0.85424,0.81424,0.85899,0.49208,1.5383,0.82107,1.95213,0.00120972,0.00120972,0.00120972
