epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.69045,1.49638,3.11598,0.01443,0.4609,0.5734,0.57822,0.27929,1.64031,1.78618,0.02781,0.000467673,0.000467673,0.000467673
2,7.31881,1.60691,1.71902,0.01543,0.60292,0.66948,0.63216,0.31871,1.70156,1.4828,0.03029,0.000939333,0.000939333,0.000939333
3,11.2608,1.66122,1.585,0.01616,0.48228,0.59787,0.49104,0.22435,1.71881,1.98314,0.03012,0.00140628,0.00140628,0.00140628
4,14.8425,1.67001,1.46621,0.01601,0.54243,0.62323,0.56841,0.27551,1.76802,1.70938,0.03034,0.00140778,0.00140778,0.00140778
5,18.4127,1.63646,1.34907,0.01562,0.61373,0.66476,0.64624,0.29628,1.86271,1.70628,0.03341,0.00140071,0.00140071,0.00140071
6,22.0185,1.61145,1.27859,0.01574,0.76346,0.69678,0.771,0.39762,1.6663,1.12716,0.02934,0.00139363,0.00139363,0.00139363
7,25.724,1.61947,1.23661,0.01574,0.76229,0.7377,0.77349,0.39912,1.6655,1.19174,0.02855,0.00138656,0.00138656,0.00138656
8,29.4435,1.54515,1.11727,0.01484,0.73223,0.75661,0.76693,0.41245,1.66022,1.07355,0.02936,0.00137949,0.00137949,0.00137949
9,33.1283,1.56847,1.14784,0.015,0.73521,0.70814,0.74271,0.38465,1.69072,1.30793,0.02911,0.00137241,0.00137241,0.00137241
10,36.7108,1.53799,1.06051,0.0147,0.70903,0.67272,0.72456,0.37235,1.63581,1.24963,0.02774,0.00136534,0.00136534,0.00136534
11,40.3119,1.52711,1.0838,0.01455,0.78665,0.72628,0.78799,0.43289,1.59977,0.9788,0.02804,0.00135826,0.00135826,0.00135826
12,44.0843,1.5309,1.05093,0.01407,0.77874,0.72548,0.80053,0.43848,1.57422,1.0581,0.02766,0.00135119,0.00135119,0.00135119
13,47.8743,1.46004,1.0123,0.01385,0.78618,0.7823,0.82367,0.47743,1.52184,0.94941,0.0251,0.00134412,0.00134412,0.00134412
