epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.5785,1.46677,3.14659,0.01403,0.51903,0.65441,0.61393,0.30815,1.66444,1.4967,0.02988,0.000467673,0.000467673,0.000467673
2,9.37477,1.61168,1.60193,0.0156,0.71925,0.71403,0.71853,0.36822,1.70841,1.2892,0.03201,0.000938509,0.000938509,0.000938509
3,14.0259,1.67787,1.4666,0.01615,0.65171,0.63256,0.66127,0.30976,1.80776,1.68417,0.0331,0.0014038,0.0014038,0.0014038
4,18.4911,1.69489,1.38358,0.01632,0.69476,0.68005,0.68606,0.35355,1.73242,1.5782,0.03071,0.00140403,0.00140403,0.00140403
5,22.9421,1.69949,1.27119,0.01632,0.69517,0.73103,0.76173,0.36152,1.81977,1.21128,0.03369,0.00139571,0.00139571,0.00139571
6,27.3843,1.62541,1.19909,0.01578,0.71118,0.77231,0.80165,0.4018,1.76755,1.02998,0.03224,0.00138739,0.00138739,0.00138739
7,32.0468,1.63682,1.15931,0.01609,0.7264,0.78418,0.79437,0.388,1.80165,1.00999,0.03161,0.00137907,0.00137907,0.00137907
8,36.5175,1.55742,1.05998,0.01476,0.82696,0.72135,0.81916,0.4431,1.611,0.94193,0.02775,0.00137075,0.00137075,0.00137075
9,41.3143,1.56381,1.08055,0.01467,0.80509,0.74146,0.80676,0.42166,1.66972,0.97083,0.02897,0.00136243,0.00136243,0.00136243
10,45.7836,1.57174,1.05903,0.01497,0.70512,0.7352,0.75115,0.35392,1.87573,1.09881,0.03319,0.0013541,0.0013541,0.0013541
11,58.0966,1.58614,1.05259,0.01512,0.75525,0.78062,0.79775,0.40911,1.72445,1.01082,0.03,0.00134578,0.00134578,0.00134578
12,62.5624,1.54658,1.01958,0.01424,0.77097,0.79588,0.78634,0.41781,1.68893,0.95,0.02968,0.00133746,0.00133746,0.00133746
13,67.0874,1.48848,0.97432,0.01408,0.79311,0.80257,0.82792,0.45921,1.58031,0.95155,0.02753,0.00132914,0.00132914,0.00132914
14,71.6492,1.51943,0.97227,0.01403,0.82948,0.7677,0.83907,0.44436,1.60606,0.98162,0.02753,0.00132082,0.00132082,0.00132082
15,76.0979,1.50354,0.99048,0.01423,0.77889,0.76179,0.81796,0.43422,1.71338,1.00919,0.03067,0.00131249,0.00131249,0.00131249
16,80.5517,1.46409,0.91527,0.01352,0.83341,0.77301,0.83737,0.47007,1.59885,0.86466,0.028,0.00130417,0.00130417,0.00130417
17,85.1111,1.43971,0.91428,0.01331,0.79581,0.83462,0.8583,0.46622,1.62425,0.86888,0.02803,0.00129585,0.00129585,0.00129585
18,89.5616,1.45118,0.90631,0.01351,0.78164,0.78447,0.84338,0.44972,1.61001,0.91635,0.02849,0.00128753,0.00128753,0.00128753
19,94.1288,1.45183,0.89549,0.01353,0.81436,0.81407,0.86677,0.48517,1.55345,0.85162,0.02646,0.00127921,0.00127921,0.00127921
20,98.7052,1.43438,0.87154,0.0133,0.84535,0.79748,0.85401,0.45606,1.59835,0.99289,0.02726,0.00127089,0.00127089,0.00127089
